year,gr_arop,eu_arop,eu_arop_source,gr_arop_rank,n_countries_arop,gr_subjective_poverty,great_difficulty,difficulty,eu_subjective_poverty,eu_subjective_poverty_source,gr_subj_rank,n_countries_subj,gr_eu_arop_gap,gr_eu_subjective_gap,eu_composition,gr_arrears,eu_arrears,eu_arrears_src,gr_cannot_keep_home_warm,eu_cannot_keep_home_warm,eu_cannot_keep_home_warm_src,gr_consumption_pc,eu_consumption_pc,eu_consumption_pc_src,gr_employment_rate_20_64,eu_employment_rate_20_64,eu_employment_rate_20_64_src,gr_hicp_food_rate,eu_hicp_food_rate,eu_hicp_food_rate_src,gr_hicp_headline_rate,eu_hicp_headline_rate,eu_hicp_headline_rate_src,gr_hicp_housing_energy_rate,eu_hicp_housing_energy_rate,eu_hicp_housing_energy_rate_src,gr_housing_cost_overburden,eu_housing_cost_overburden,eu_housing_cost_overburden_src,gr_minimum_wage_eur_month,eu_minimum_wage_eur_month,eu_minimum_wage_eur_month_src,gr_real_gdp_pc,eu_real_gdp_pc,eu_real_gdp_pc_src,gr_real_hh_income_idx2008,eu_real_hh_income_idx2008,eu_real_hh_income_idx2008_src,gr_severe_mat_deprivation_legacy,eu_severe_mat_deprivation_legacy,eu_severe_mat_deprivation_legacy_src,gr_severe_mat_soc_deprivation_new,eu_severe_mat_soc_deprivation_new,eu_severe_mat_soc_deprivation_new_src,gr_unemployment_rate,eu_unemployment_rate,eu_unemployment_rate_src,gr_unexpected_expenses_inability,eu_unexpected_expenses_inability,eu_unexpected_expenses_inability_src,gr_arop_threshold_nominal_eur,hicp_cum_index,hicp_cum_index_2008base,gr_arop_threshold_real_2008eur,gr_arop_threshold_real_idx2008,gr_arope,eu_arope,eu_arope_source,gr_arope_rank,n_countries_arope,gr_eu_arope_gap
2003,20.7,,,1,6,48.0,17.7,30.3,,,1,6,,,EU15,35.5,,,17.4,,,12550,13030,EU27_2020,,,,4.9,2.2,EU27_2020,3.4,2.3,EU27_2020,4.5,3.3,EU27_2020,,,,607,,,18480,26530,EU27_2020,,,,16.9,,,,,,,,,44.8,,,4923,,0.8460911653936282,5818.521929264757,89.79200508124624,32.9,,,1,6,
2004,19.9,,,5,13,45.4,14.2,31.2,,,1,13,,,EU25,30.4,,,16.8,,,13050,13240,EU27_2020,,,,0.8,1.9,EU27_2020,3.0,2.5,EU27_2020,4.9,3.2,EU27_2020,24.7,,,631,,,19420,27110,EU27_2020,,,,14.1,,,,,,,,,35.5,,,5306,,0.871473900355437,6088.5357528618,93.95888507502778,30.9,,,1,13,
2005,19.6,16.0,EU,5,25,50.8,17.1,33.7,,,3,25,3.6000000000000014,,EU25,33.1,9.6,EA19,15.7,8.9,EA19,13460,13480,EU27_2020,,,,0.8,1.1,EU27_2020,3.5,2.3,EU27_2020,9.2,5.0,EU27_2020,22.7,11.4,EU27_2007,668,,,19590,27530,EU27_2020,88.85,96.1,EU27_2020,12.8,10.8,EU27_2007,,,,,,,38.8,30.6,EA19,5650,,0.9019754868678772,6264.028327,96.6671038117284,29.4,25.8,EU27_2007,6,25,3.599999999999998
2006,20.5,16.1,EU,2,25,52.6,18.4,34.2,,,1,25,4.399999999999999,,EU25,29.9,9.4,EA19,12.0,8.9,EA19,13670,13760,EU27_2020,,,,3.5,2.4,EU27_2020,3.3,2.3,EU27_2020,7.2,5.1,EU27_2020,24.6,11.6,EU27_2007,710,,,20790,28410,EU27_2020,93.88,97.99,EU27_2020,11.5,9.9,EU27_2007,,,,,,,30.6,33.2,EA19,5910,,0.9317406779345172,6342.966600000001,97.88528703703705,29.3,25.3,EU27_2007,5,25,4.0
2007,20.3,16.6,EU,4,27,52.400000000000006,18.8,33.6,23.799999999999997,EU27_2007,2,27,3.6999999999999993,28.60000000000001,EU27 (pre-Croatia),26.4,10.0,EU27_2007,13.8,10.9,EU27_2007,14280,14020,EU27_2020,,,,2.2,3.3,EU27_2020,3.0,2.4,EU27_2020,2.8,3.2,EU27_2020,15.8,10.7,EU27_2007,730,,,21470,29200,EU27_2020,96.47,99.33,EU27_2020,11.5,9.2,EU27_2007,,,,,,,29.6,35.2,EU27_2007,6120,,0.9596928982725528,6377.04,98.41111111111113,28.3,24.5,EU27_2007,7,27,3.8000000000000007
2008,20.1,16.6,EU,5,27,54.5,20.0,34.5,25.0,EU27_2007,2,27,3.5,29.5,EU27 (pre-Croatia),24.4,10.4,EU27_2007,15.4,10.1,EU27_2007,14770,14060,EU27_2020,,,,5.3,6.2,EU27_2020,4.2,3.7,EU27_2020,9.8,5.9,EU27_2020,22.2,10.5,EU27_2007,794,,,21420,29280,EU27_2020,100.0,100.0,EU27_2020,11.2,8.5,EU27_2007,,,,,,,26.6,34.3,EU27_2007,6480,,1.0,6480.0,100.0,28.1,23.7,EU27_2007,7,27,4.400000000000002
2009,19.7,16.4,EU,7,27,57.0,22.3,34.7,26.1,EU27_2007,2,27,3.3000000000000007,30.9,EU27 (pre-Croatia),28.7,11.8,EU27_2007,15.7,9.3,EU27_2007,14500,13880,EU27_2020,65.4,67.3,EU27_2020,1.8,0.5,EU27_2020,1.3,0.8,EU27_2020,-4.1,1.2,EU27_2020,21.8,9.9,EU27_2007,818,,,20490,27970,EU27_2020,100.38,100.13,EU27_2020,11.0,8.2,EU27_2007,,,,9.8,9.3,EU27_2020,26.6,35.4,EU27_2007,6897,,1.013,6808.489634748273,105.06928448685603,27.6,23.3,EU27_2007,7,27,4.300000000000001
2010,20.1,16.5,EU,6,27,58.400000000000006,24.2,34.2,28.0,EU27_2020,2,27,3.6000000000000014,30.40000000000001,EU27 (pre-Croatia),30.9,12.4,EU27_2020,15.4,9.9,EU27_2020,13420,14000,EU27_2020,63.5,67.0,EU27_2020,0.1,0.7,EU27_2020,4.7,1.8,EU27_2020,9.2,2.3,EU27_2020,18.1,10.0,EU27_2020,863,,,19300,28520,EU27_2020,86.87,99.65,EU27_2020,11.6,8.9,EU27_2020,,,,12.9,10.1,EU27_2020,28.2,37.1,EU27_2020,7178,,1.0606109999999995,6767.79705283087,104.44131254368628,27.7,23.9,EU27_2020,7,27,3.8000000000000007
2011,21.4,16.9,EU,3,27,62.6,25.6,37.0,27.299999999999997,EU27_2020,1,27,4.5,35.300000000000004,EU27 (pre-Croatia),31.9,12.1,EU27_2020,18.6,10.3,EU27_2020,12370,14020,EU27_2020,59.3,67.1,EU27_2020,3.1,3.2,EU27_2020,3.1,2.9,EU27_2020,9.4,4.9,EU27_2020,24.2,10.6,EU27_2020,863,,,17420,29030,EU27_2020,76.85,99.47,EU27_2020,15.2,9.4,EU27_2020,,,,18.1,10.1,EU27_2020,34.4,38.3,EU27_2020,6591,,1.0934899409999996,6027.490288545784,93.01682544052136,31.0,24.5,EU27_2020,6,27,6.5
2012,23.1,16.8,EU,1,27,73.1,35.0,38.1,28.799999999999997,EU27_2020,1,27,6.300000000000001,44.3,EU27 (pre-Croatia),39.0,12.6,EU27_2020,26.1,11.2,EU27_2020,11270,13880,EU27_2020,54.5,66.9,EU27_2020,1.5,3.0,EU27_2020,1.0,2.6,EU27_2020,7.4,4.1,EU27_2020,33.1,11.5,EU27_2020,877,,,16050,28760,EU27_2020,67.06,97.72,EU27_2020,19.5,10.2,EU27_2020,,,,24.8,11.1,EU27_2020,40.5,40.0,EU27_2020,5708,,1.1044248404099997,5168.300993556971,79.75773138205201,34.6,24.9,EU27_2020,4,27,9.700000000000003
