var,r2,n,gr_in,gr_oos,rank,coef,p
gdp_years_below_2008,0.914,267,1.35,4.63,5/27,-0.0523,0.8946
gdp_years_below_peak,0.914,267,1.35,4.5,5/27,-0.0603,0.8741
gdp_longest_streak_2008,0.914,267,1.24,3.86,6/27,0.0956,0.7636
gdp_longest_streak_peak,0.914,267,1.23,3.85,6/27,0.1075,0.7368
gdp_cum_negative_years,0.918,267,1.36,4.68,4/27,0.8566,0.1303
wage_years_below_2008,0.921,267,0.88,2.7,9/27,0.3734,0.0045
wage_years_below_peak,0.917,267,1.31,4.71,5/27,0.2149,0.0657
wage_longest_streak_2008,0.918,267,0.58,0.31,14/27,0.319,0.0538
wage_longest_streak_peak,0.915,267,1.08,3.23,9/27,0.1794,0.2334
wage_cum_negative_years,0.917,267,0.81,1.97,12/27,0.4879,0.0703
